id,name,characters,fontFamily,fontSize,positionX,positionY,width,height
692:25502,Dark Gray 200 - #6671aa,Dark Gray 200 - #6671aa,Inter,16,5377,14267,192,19
692:25503,Light Gray 300 - #d7dae9,Light Gray 300 - #d7dae9,Inter,16,4894,14339,198,19
692:25504,Primary Blue - #005091,Primary Blue - #005091,Inter,16,4421,14334,182,19
692:25505,Dark Gray 300 - #535e96,Dark Gray 300 - #535e96,Inter,16,5377,14339,197,19
692:25506,Light Gray 400 - #cbcfe2,Light Gray 400 - #cbcfe2,Inter,16,4894,14411,193,19
692:25507,Dark Blue - #002848,Dark Blue - #002848,Inter,16,4421,14406,161,19
692:25508,Dark Gray 400 - #454e7c,Dark Gray 400 - #454e7c,Inter,16,5377,14411,196,19
692:25509,Light Gray 500 - #bec3db,Light Gray 500 - #bec3db,Inter,16,4894,14483,199,19
692:25510,Dark Gray 500 - #373e63,Dark Gray 500 - #373e63,Inter,16,5377,14483,197,19
692:25511,Light Gray 600 - #b2b7d4,Light Gray 600 - #b2b7d4,Inter,16,4894,14555,199,19
692:25512,Dark Gray 600 - #292f4a,Dark Gray 600 - #292f4a,Inter,16,5377,14555,192,19
692:25513,Light Gray 700 - #a5accd,Light Gray 700 - #a5accd,Inter,16,4894,14627,195,19
692:25514,Dark Gray 700 - #1b1f31,Dark Gray 700 - #1b1f31,Inter,16,5377,14627,185,19
692:25515,Light Gray 800 - #98a0c6,Light Gray 800 - #98a0c6,Inter,16,4894,14699,199,19
692:25516,Dark Gray 800 - #141724,Dark Gray 800 - #141724,Inter,16,5377,14699,192,19
692:25517,Light Gray 900 - #8c94bf,Light Gray 900 - #8c94bf,Inter,16,4894,14771,196,19
692:25518,Dark Gray 900 - #,Dark Gray 900 - # ,Inter,16,5377,14771,137,19
692:25519,Black - #000000,Black - #000000,Inter,16,5377,14878,130,19
I692:25554;2919:262711,Tutorial Mode,Dark Mode,Inter,12,2903,17357,63,15
I692:25554;2919:262714,Get to know our features,Get to know our features,Inter,14,2994,17358,167,17
I692:25554;2919:262715,Select,Select ,Inter,14,2994,17335,44,17
I692:25554;2919:262716,icon to,icon to ,Inter,14,3081,17335,46,17
692:25557,To-Do Status,To-Do Status,Inter,12,2893.5,17451,82,15
692:25559,100%,100%,Inter,16,2913.5,17409,42,19
692:25561,Back,Back,Inter,16,3020.5849609375,16606,39,19
692:25576,Authorization Accepted,Authorization Accepted ,Inter,12,3274.820068359375,16657,141,15
692:25577,Add Provider Data,Add Provider Data ,Inter,12,3672.91015625,16657,107,15
692:25578,Review & Save,Review & Save,Inter,12,4194,16657,85,15
692:25581,Delegated Provider,Delegated Provider,Inter,18,3030,16675,169,22
692:25584,Intro,Intro,Inter,14,3030,16731.5,237,17
692:25586,Credentialing Status,Credentialing Status,Inter,14,3030,16777.5,237,17
692:25588,Personal Information,Personal Information,Inter,14,3030,16823.5,237,17
692:25590,Demographics,Demographics,Inter,14,3030,16869.5,237,17
692:25592,Specialties,Specialties,Inter,14,3030,16915.5,238,17
692:25594,Professional IDs,Professional IDs,Inter,14,3030,16961.5,106,17
692:25597,Education,Education,Inter,14,3030,17007.5,238,17
692:25599,Professional Training,Professional Training,Inter,14,3030,17053.5,238,17
692:25601,Hospital Affiliations,Hospital Affiliations,Inter,14,3030,17099.5,238,17
692:25603,Professional Liability Insurance,Professional Liability Insurance,Inter,14,3030,17137,156,34
692:25605,Assign Locations,Assign Locations,Inter,14,3030,17191.5,238,17
692:25607,Assign Plans,Assign Plans,Inter,14,3030,17237.5,238,17
692:25609,Plan Specific Data,Plan Specific Data,Inter,14,3030,17283.5,238,17
692:25611,Summary,Summary,Inter,14,3030,17329.5,238,17
692:25614,Professional Liability Insurance,Professional Liability Insurance,Inter,24,3273,16757.5,835,32
692:25616,Save as Draft,Save as Draft,Inter,16,4160,16764,104,19
692:25621,Received,Received,Inter,14,3273,16777,507,17
692:25622,Actions,Actions,Inter,14,3892,16777,139,17
692:25624,Policy Number *,Policy Number *,Inter,14,3273,16825,109,17
692:25626,BA2323245|,BA2323245| ,Inter,16,3289,16859,98,19
692:25628,Covered Practice Location,Covered Practice Location,Inter,14,3273,16913,177,17
692:25630,Select all that apply,Select all that apply,Inter,16,3289,16947,504,19
692:25634,Current Effective Date *,Current Effective Date *,Inter,14,3273,17001,160,17
692:25636,01/13/23,01/13/23,Inter,16,3289,17035,214,19
692:25639,Current Expiration Date *,Current Expiration Date *,Inter,14,3563,17001,168,17
692:25641,mm/dd/yyyy,mm/dd/yyyy,Inter,16,3579,17035,214,19
692:25645,Original Effective Date,Original Effective Date,Inter,14,3273,17089,150,17
692:25647,mm/dd/yyyy,mm/dd/yyyy,Inter,16,3289,17123,214,19
692:25650,Retroactive Expiration Date,Retroactive Expiration Date,Inter,14,3563,17089,183,17
692:25652,mm/dd/yyyy,mm/dd/yyyy,Inter,16,3579,17123,214,19
692:25656,Renewal Date,Renewal Date,Inter,14,3273,17177,92,17
692:25658,mm/dd/yyyy,mm/dd/yyyy,Inter,16,3289,17211,214,19
692:25663,Carrier/Self Insured Name *,Carrier/Self Insured Name *,Inter,14,3273,17265,185,17
692:25665,Example Name,Example Name,Inter,16,3289,17299,214,19
692:25672,Back,Back,Inter,16,3323.5849609375,17397,39,19
692:25676,Next,Next,Inter,16,3442,17397,37,19
692:25679,File Viewer,File Viewer,Inter,20,3911,16858,109,24
692:25686,File Name PLI.PDF,File Name PLI.PDF,Inter,16,3911,17331,140,19
I692:25713;1231:59477,Search,Search ,Inter,18,3537.4443359375,16519,60,22
692:25715,Help,Help,Inter,16,4182,16518.5,36,19
692:25717,KP,KP,Inter,16,4258.5,16518.5,21,19
692:25723,Back,Back,Inter,16,5182.5849609375,16606,39,19
692:25760,Tutorial Mode,Dark Mode,Inter,12,5065,17357,63,15
692:25763,Get to know our features,Get to know our features,Inter,14,5156,17358,167,17
692:25764,Select,Select ,Inter,14,5156,17335,44,17
692:25765,icon to,icon to ,Inter,14,5243,17335,46,17
692:25774,To-Do Status,To-Do Status,Inter,12,5055.5,17451,82,15
692:25776,100%,100%,Inter,16,5075,17409,43,19
692:25790,Authorization Accepted,Authorization Accepted ,Inter,12,5436.8203125,16657,141,15
692:25791,Add Provider Data,Add Provider Data ,Inter,12,5834.91015625,16657,107,15
692:25792,Review & Save,Review & Save,Inter,12,6356,16657,85,15
692:25795,Delegated Provider,Delegated Provider,Inter,18,5192,16675,169,22
692:25798,Intro,Intro,Inter,14,5192,16731.5,237,17
692:25800,Credentialing Status,Credentialing Status,Inter,14,5192,16777.5,237,17
692:25802,Personal Information,Personal Information,Inter,14,5192,16823.5,237,17
692:25804,Demographics,Demographics,Inter,14,5192,16869.5,237,17
692:25806,Specialties,Specialties,Inter,14,5192,16915.5,238,17
692:25808,Professional IDs,Professional IDs,Inter,14,5192,16961.5,106,17
692:25811,Education,Education,Inter,14,5192,17007.5,238,17
692:25813,Professional Training,Professional Training,Inter,14,5192,17053.5,238,17
692:25815,Hospital Affiliations,Hospital Affiliations,Inter,14,5192,17099.5,238,17
692:25817,Professional Liability Insurance,Professional Liability Insurance,Inter,14,5192,17137,156,34
692:25819,Assign Locations,Assign Locations,Inter,14,5192,17191.5,238,17
692:25821,Assign Plans,Assign Plans,Inter,14,5192,17237.5,238,17
692:25823,Plan Specific Data,Plan Specific Data,Inter,14,5192,17283.5,238,17
692:25825,Summary,Summary,Inter,14,5192,17329.5,238,17
692:25828,Professional Liability Insurance,Professional Liability Insurance,Inter,24,5435,16757.5,835,32
692:25830,Save as Draft,Save as Draft,Inter,16,6322,16764,104,19
692:25835,Received,Received,Inter,14,5435,16777,507,17
692:25836,Actions,Actions,Inter,14,6054,16777,139,17
692:25837,Policy Number *,Policy Number *,Inter,14,5435,16825,109,17
692:25839,BA2323245|,BA2323245|,Inter,16,5451,16859,98,19
692:25842,Covered Practice Location,Covered Practice Location,Inter,14,5435,16913,177,17
692:25844,Select all that apply,Select all that apply,Inter,16,5451,16947,504,19
692:25848,Current Effective Date *,Current Effective Date *,Inter,14,5435,17001,160,17
692:25850,01/13/23,01/13/23,Inter,16,5451,17035,214,19
692:25853,Current Expiration Date *,Current Expiration Date *,Inter,14,5725,17001,168,17
692:25855,mm/dd/yyyy,mm/dd/yyyy,Inter,16,5741,17035,214,19
692:25859,Original Effective Date,Original Effective Date,Inter,14,5435,17089,150,17
692:25861,mm/dd/yyyy,mm/dd/yyyy,Inter,16,5451,17123,214,19
692:25864,Retroactive Expiration Date,Retroactive Expiration Date,Inter,14,5725,17089,183,17
692:25866,mm/dd/yyyy,mm/dd/yyyy,Inter,16,5741,17123,214,19
692:25870,Renewal Date,Renewal Date,Inter,14,5435,17177,92,17
692:25872,mm/dd/yyyy,mm/dd/yyyy,Inter,16,5451,17211,214,19
692:25877,Carrier/Self Insured Name *,Carrier/Self Insured Name *,Inter,14,5435,17265,185,17
692:25879,Example Name,Example Name,Inter,16,5451,17299,214,19
692:25886,Back,Back,Inter,16,5485.5849609375,17397,39,19
692:25890,Next,Next,Inter,16,5604,17397,37,19
692:25893,File Viewer,File Viewer,Inter,20,6073,16858,109,24
692:25900,File Name PLI.PDF,File Name PLI.PDF,Inter,16,6073,17331,140,19
I692:25927;1231:59477,Search,Search ,Inter,18,5699.4443359375,16519,60,22
692:25929,Help,Help,Inter,16,6344,16518.5,36,19
692:25931,KP,KP,Inter,16,6420.5,16518.5,21,19
692:26290,mid blue,mid blue,Inter,12,4274,13829,51,15
692:26291,Hue 207,Hue 207,Inter,12,4252,14260,50,15
692:26292,Hue 207,Hue 207,Inter,12,4252,14325,50,15
692:26293,Hue 207,Hue 207,Inter,12,4252,14390,50,15
741:10300,50,50,Inter,16,4499,14574,21,19
741:10322,50,50,Inter,16,4677,14574,21,19
741:10301,100,100,Inter,16,4499,14636,29,19
741:10323,100,100,Inter,16,4677,14636,29,19
741:10302,200,200,Inter,16,4499,14698,31,19
741:10324,200,200,Inter,16,4677,14698,31,19
741:10303,300,300,Inter,16,4499,14760,31,19
741:10325,300,300,Inter,16,4677,14760,31,19
741:10304,400,400,Inter,16,4499,14822,32,19
741:10326,400,400,Inter,16,4677,14822,32,19
741:10305,500,500,Inter,16,4499,14884,31,19
740:8088,CAQH MID BLUE,CAQH MID BLUE,Inter,16,4268,14889,127,19
740:8089,CAQH BLUE,CAQH BLUE,Inter,16,4303,15012,92,19
740:8090,CAQH DARK BLUE,CAQH DARK BLUE,Inter,16,4255,15140,140,19
741:10327,500,500,Inter,16,4677,14884,31,19
741:10306,600,600,Inter,16,4499,14946,31,19
741:10328,600,600,Inter,16,4677,14946,31,19
741:10307,700,700,Inter,16,4499,15008,30,19
741:10329,700,700,Inter,16,4677,15008,30,19
741:10308,800,800,Inter,16,4499,15070,31,19
741:10330,800,800,Inter,16,4677,15070,31,19
741:10309,900,900,Inter,16,4499,15132,31,19
741:10331,900,900,Inter,16,4677,15132,31,19
745:10424,mediumBlue,mediumBlue,Inter,12,4684,13952,74,15
745:10342,50,50,Inter,16,4760,13277,21,19
745:10343,100,100,Inter,16,4760,13340,29,19
745:10344,200,200,Inter,16,4760,13403,31,19
745:10345,300,300,Inter,16,4760,13466,31,19
745:10346,400,400,Inter,16,4760,13529,32,19
745:10347,500,500,Inter,16,4760,13592,31,19
745:10348,600,600,Inter,16,4760,13655,31,19
745:10349,700,700,Inter,16,4760,13718,30,19
745:10350,800,800,Inter,16,4760,13781,31,19
745:10351,900,900,Inter,16,4760,13844,31,19
745:10392,P,P,Inter,16,4672,13844,11,19
755:13931,mediumBlue,mediumBlue,Inter,12,5149,13902,74,15
755:13943,50,50,Inter,16,5225,13277,21,19
755:13944,100,100,Inter,16,5225,13340,29,19
755:13945,200,200,Inter,16,5225,13403,31,19
755:13946,300,300,Inter,16,5225,13466,31,19
755:13947,400,400,Inter,16,5225,13529,32,19
755:13948,500,500,Inter,16,5225,13592,31,19
755:13949,600,600,Inter,16,5225,13655,31,19
755:13950,700,700,Inter,16,5225,13718,30,19
755:13951,800,800,Inter,16,5225,13781,31,19
755:13952,900,900,Inter,16,5225,13844,31,19
755:13953,P,P,Inter,16,5137,13718,11,19
745:10425,brightBlue,brightBlue,Inter,12,4506,13902,62,15
745:10402,50,50,Inter,16,4577,13277,21,19
745:10403,100,100,Inter,16,4577,13340,29,19
745:10404,200,200,Inter,16,4577,13403,31,19
745:10405,300,300,Inter,16,4577,13466,31,19
745:10406,400,400,Inter,16,4577,13529,32,19
745:10407,500,500,Inter,16,4577,13592,31,19
745:10408,600,600,Inter,16,4577,13655,31,19
745:10409,700,700,Inter,16,4577,13718,30,19
745:10410,800,800,Inter,16,4577,13781,31,19
745:10411,900,900,Inter,16,4577,13844,31,19
745:10423,P,P,Inter,16,4488,13718,11,19
745:10426,darkBlue,darkBlue,Inter,12,4878,13902,53,15
745:10412,50,50,Inter,16,4945,13277,21,19
745:10413,100,100,Inter,16,4945,13340,29,19
745:10414,200,200,Inter,16,4945,13403,31,19
745:10415,300,300,Inter,16,4945,13466,31,19
745:10416,400,400,Inter,16,4945,13529,32,19
745:10417,500,500,Inter,16,4945,13592,31,19
745:10418,600,600,Inter,16,4945,13655,31,19
745:10419,700,700,Inter,16,4945,13718,30,19
745:10420,800,800,Inter,16,4945,13781,31,19
745:10421,900,900,Inter,16,4945,13844,31,19
745:10422,P,P,Inter,16,4855,13844,11,19
751:13923,?,?,Inter,40,4709,13886,23,48
751:13925,Primary,Primary,Inter,16,4694,13227,60,19
755:13955,Primary (modified),Primary (modified),Inter,16,5159,13227,143,19
751:13926,Secondary,Secondary,Inter,16,4509,13227,83,19
751:13927,Tertiary,Tertiary,Inter,16,4873,13227,60,19
755:13968,Secondary,Secondary,Inter,16,4947,13227,83,19
755:13959,these 2 colors are very similar.. can we swap for secondary 700?,"these 2 colors are very similar..
can we swap for secondary 700?",Inter,16,5274,13654,253,38
755:13960,"...if so, we’ll consolidate primary & secondary into one then can use tertiary as secondary and call it a day (with a rework of the palette so that the main color is not 900)","...if so, we’ll consolidate 
primary & secondary into one
then can use tertiary as secondary
and call it a day (with a rework of the palette so that the main color is not 900)",Inter,16,5274,13716,312,95
784:11305,x,x,Inter,16,5186,13836,9,19
784:11306,x,x,Inter,16,5181,13651,9,19
I1169:24124;2919:262711,Tutorial Mode,Dark Mode,Inter,12,8272,16128,63,15
I1169:24124;2919:262714,Get to know our features,Get to know our features,Inter,14,8363,16129,167,17
I1169:24124;2919:262715,Select,Select ,Inter,14,8363,16106,44,17
I1169:24124;2919:262716,icon to,icon to ,Inter,14,8450,16106,46,17
1169:24127,To-Do Status,To-Do Status,Inter,12,8262.5,16222,82,15
1169:24129,100%,100%,Inter,16,8282,16180,43,19
I1169:24162;1231:59477,Search,Search ,Inter,18,8906.4443359375,15290,60,22
1169:24164,Help,Help,Inter,16,9551,15289.5,36,19
1169:24166,KP,KP,Inter,16,9627.5,15289.5,21,19
1169:24168,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,8399,15386,445,17
1169:24169,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,8399,15414,445,88
1169:24170,Credentialing Application,Credentialing Application,Inter,18,8884,15383,225,22
1169:24171,Progress: 88%,Progress: 88%,Inter,14,8884,15421,97,17
1169:24172,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,9086,15421,150,17
1169:24176,View Summary,View Summary,Inter,14,8860,15477,139,22
1169:24178,Continue,Continue,Inter,14,9146,15479.5,62,17
1169:24179,Directory Information,Directory Information,Inter,18,9299,15383,189,22
1169:24180,Progress: 0%,Progress: 0%,Inter,14,9299,15421,88,17
1169:24181,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,9497,15421,154,17
1169:24185,View Summary,View Summary,Inter,14,9272,15477,141,22
1169:24187,Begin,Begin,Inter,14,9584,15479.5,39,17
1169:24188,To Do (29),To Do (29) ,Inter,24,8399,15561,120,31.56109619140625
1169:24189,View All,View All,Inter,14,8747,15565.892578125,84,21
1169:24190,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,8399,15597.560546875,425,18.501331329345703
1169:24191,Item,Item,Inter,14,8399,15645,307,19
1169:24192,Status,Status,Inter,14,8711,15645,45,17
1169:24195,12,12,Inter,16,8408,15705.5,18,19
1169:24196,Missing Required Fields,Missing Required Fields,Inter,16,8451,15705.5,237,19
1169:24198,Not Done,Not Done,Inter,12,8716,15707.5,54,15
1169:24201,1,1,Inter,16,8413,15769.5,8,19
1169:24202,Missing Required Documents,Missing Required Documents,Inter,16,8451,15769.5,237,19
1169:24204,Not Done,Not Done,Inter,12,8716,15771.5,54,15
1169:24207,6,6,Inter,16,8411.5,15833.5,11,19
1169:24208,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,8451,15833.5,237,19
1169:24210,Not Done,Not Done,Inter,12,8716,15835.5,54,15
1169:24213,4,4,Inter,16,8411.5,15897.5,11,19
1169:24214,Resolve Directory Flags,Resolve Directory Flags,Inter,16,8451,15897.5,237,19
1169:24216,Not Done,Not Done,Inter,12,8716,15899.5,54,15
1169:24219,1,1,Inter,16,8413,15961.5,8,19
1169:24220,Begin Directory Data,Begin Directory Data,Inter,16,8451,15961.5,238,19
1169:24222,Begin,Begin,Inter,12,8717,15963.5,33,15
1169:24225,4,4,Inter,16,8411.5,16025.5,11,19
1169:24226,Reconcile Data,Reconcile Data,Inter,16,8451,16025.5,238,19
1169:24228,Recommended,Recommended,Inter,12,8717,16027.5,87,15
1169:24231,4,4,Inter,16,8411.5,16085.5,11,19
1169:24232,Reconcile Data,Reconcile Data,Inter,16,8451,16085.5,238,19
1169:24234,Recommended,Recommended,Inter,12,8717,16087.5,87,15
1169:24237,4,4,Inter,16,8411.5,16145.5,11,19
1169:24238,Reconcile Data,Reconcile Data,Inter,16,8451,16145.5,238,19
1169:24240,Other,Other,Inter,12,8717,16147.5,33,15
1169:24243,Communications (56),Communications (56) ,Inter,24,8894,15561,693,32
1169:24246,Received,Received,Inter,14,8884,15616,507,17
1169:24247,Actions,Actions,Inter,14,9503,15616,139,17
1169:24253,5 hours ago,5 hours ago,Inter,12,8925,15618,68,15
1169:24255,System Maintenance Notice,System Maintenance Notice,Inter,14,8925,15633,193,22
1169:24257,Broadcast,Broadcast,Inter,10,9146,15638,49,12
1169:24258,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,8925,15655,501,44
1169:24312,5 hours ago,5 hours ago,Inter,12,8925,15728,68,15
1169:24314,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,8925,15743,231,22
1169:24316,Broadcast,Broadcast,Inter,10,9184,15748,49,12
1169:24317,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,8925,15765,322,22
1169:24323,9 hours ago,9 hours ago,Inter,12,8925,15816,68,15
1169:24325,New Feature,New Feature,Inter,14,8925,15831,86,22
1169:24327,Broadcast,Broadcast,Inter,10,9039,15836,49,12
1169:24328,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,8925,15853,501,44
1169:24334,Yesterday,Yesterday,Inter,12,8925,15926,57,15
1169:24338,Surrogate Request,Surrogate Request,Inter,14,8925,15941,129,22
1169:24340,Surrogate,Surrogate,Inter,10,9082,15946,48,12
1169:24341,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,8925,15963,490,44
1169:24343,Review,Review,Inter,12,8949,16024.5,42,15
1169:24349,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,8925,16074,118,15
1169:24351,Attestation Required,Attestation Required,Inter,14,8925,16089,142,22
1169:24353,Broadcast,Broadcast,Inter,10,9095,16094,49,12
1169:24354,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,8925,16111,501,44
1169:24360,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,8925,16184,117,15
1169:24362,Review Required,Review Required,Inter,14,8925,16199,115,22
1169:24364,Broadcast,Broadcast,Inter,10,9068,16204,49,12
1169:24365,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,8925,16221,428,22
1169:24369,All Communications,All Communications,Inter,12,9486.046875,15570.005859375,112,15
1169:24408,Tutorial Mode,Dark Mode,Inter,12,10434,16123,63,15
1169:24411,Get to know our features,Get to know our features,Inter,14,10525,16124,167,17
1169:24412,Select,Select ,Inter,14,10525,16101,44,17
1169:24413,icon to,icon to ,Inter,14,10612,16101,46,17
1169:24422,To-Do Status,To-Do Status,Inter,12,10424.5,16217,82,15
1169:24424,100%,100%,Inter,16,10444,16175,43,19
I1169:24458;1231:59477,Search,Search ,Inter,18,11068.4443359375,15285,60,22
1169:24460,Help,Help,Inter,16,11713,15284.5,36,19
1169:24462,KP,KP,Inter,16,11789.5,15284.5,21,19
1169:24464,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,10561,15381,445,17
1169:24465,"Good Morning, Kendra Patel","Good Morning, 
Kendra Patel ",Inter,36,10561,15409,445,88
1169:24466,Credentialing Application,Credentialing Application,Inter,18,11046,15378,225,22
1169:24467,Progress: 88%,Progress: 88%,Inter,14,11046,15416,97,17
1169:24468,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,11248,15416,150,17
1169:24472,View Summary,View Summary,Inter,14,11022,15472,139,22
1169:24474,Continue,Continue,Inter,14,11308,15474.5,62,17
1169:24475,Directory Information,Directory Information,Inter,18,11461,15378,189,22
1169:24476,Progress: 0%,Progress: 0%,Inter,14,11461,15416,88,17
1169:24477,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,11659,15416,154,17
1169:24481,View Summary,View Summary,Inter,14,11434,15472,141,22
1169:24483,Begin,Begin,Inter,14,11746,15474.5,39,17
1169:24486,Communications (56),Communications (56) ,Inter,24,11056,15556,693,32
1169:24489,Received,Received,Inter,14,11046,15611,507,17
1169:24490,Actions,Actions,Inter,14,11665,15611,139,17
1169:24496,5 hours ago,5 hours ago,Inter,12,11087,15613,68,15
1169:24498,System Maintenance Notice,System Maintenance Notice,Inter,14,11087,15628,193,22
1169:24500,Broadcast,Broadcast,Inter,10,11308,15633,49,12
1169:24501,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,11087,15650,501,44
1169:24507,5 hours ago,5 hours ago,Inter,12,11087,15723,68,15
1169:24509,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,11087,15738,231,22
1169:24511,Broadcast,Broadcast,Inter,10,11346,15743,49,12
1169:24512,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,11087,15760,322,22
1169:24518,9 hours ago,9 hours ago,Inter,12,11087,15811,68,15
1169:24520,New Feature,New Feature,Inter,14,11087,15826,86,22
1169:24522,Broadcast,Broadcast,Inter,10,11201,15831,49,12
1169:24523,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,11087,15848,501,44
1169:24529,Yesterday,Yesterday,Inter,12,11087,15921,57,15
1169:24533,Surrogate Request,Surrogate Request,Inter,14,11087,15936,129,22
1169:24535,Surrogate,Surrogate,Inter,10,11244,15941,48,12
1169:24536,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,11087,15958,490,44
1169:24538,Review,Review,Inter,12,11111,16019.5,42,15
1169:24544,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,11087,16069,118,15
1169:24546,Attestation Required,Attestation Required,Inter,14,11087,16084,142,22
1169:24548,Broadcast,Broadcast,Inter,10,11257,16089,49,12
1169:24549,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,11087,16106,501,44
1169:24555,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,11087,16179,117,15
1169:24557,Review Required,Review Required,Inter,14,11087,16194,115,22
1169:24559,Broadcast,Broadcast,Inter,10,11230,16199,49,12
1169:24560,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,11087,16216,428,22
1169:24564,All Communications,All Communications,Inter,12,11648.046875,15565.005859375,112,15
1169:24614,To Do (29),To Do (29) ,Inter,24,10561,15556,120,31.56109619140625
1169:24615,View All,View All,Inter,14,10909,15560.892578125,84,21
1169:24616,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,10561,15592.560546875,425,18.501331329345703
1169:24617,Item,Item,Inter,14,10561,15640,307,19
1169:24618,Status,Status,Inter,14,10873,15640,45,17
1169:24621,12,12,Inter,16,10570,15700.5,18,19
1169:24622,Missing Required Fields,Missing Required Fields,Inter,16,10613,15700.5,237,19
1169:24624,Not Done,Not Done,Inter,12,10878,15702.5,54,15
1169:24627,1,1,Inter,16,10575,15764.5,8,19
1169:24628,Missing Required Documents,Missing Required Documents,Inter,16,10613,15764.5,237,19
1169:24630,Not Done,Not Done,Inter,12,10878,15766.5,54,15
1169:24633,6,6,Inter,16,10573.5,15828.5,11,19
1169:24634,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,10613,15828.5,237,19
1169:24636,Not Done,Not Done,Inter,12,10878,15830.5,54,15
1169:24639,4,4,Inter,16,10573.5,15892.5,11,19
1169:24640,Resolve Directory Flags,Resolve Directory Flags,Inter,16,10613,15892.5,237,19
1169:24642,Not Done,Not Done,Inter,12,10878,15894.5,54,15
1169:24645,1,1,Inter,16,10575,15956.5,8,19
1169:24646,Begin Directory Data,Begin Directory Data,Inter,16,10613,15956.5,238,19
1169:24648,Begin,Begin,Inter,12,10879,15958.5,33,15
1169:24651,4,4,Inter,16,10573.5,16020.5,11,19
1169:24652,Reconcile Data,Reconcile Data,Inter,16,10613,16020.5,238,19
1169:24654,Recommended,Recommended,Inter,12,10879,16022.5,87,15
1169:24657,4,4,Inter,16,10573.5,16080.5,11,19
1169:24658,Reconcile Data,Reconcile Data,Inter,16,10613,16080.5,238,19
1169:24660,Recommended,Recommended,Inter,12,10879,16082.5,87,15
1169:24663,4,4,Inter,16,10573.5,16140.5,11,19
1169:24664,Reconcile Data,Reconcile Data,Inter,16,10613,16140.5,238,19
1169:24666,Other,Other,Inter,12,10879,16142.5,33,15
1169:24691,Light Gray 100 - #f1f2f7,Light Gray 100 - #f1f2f7,Inter,16,10263,14213,182,19
1169:24692,Light Gray 50 - #F5F7FB,Light Gray 50 - #F5F7FB,Inter,16,10263,14141,187,19
1169:24693,Light Blue - #00A6E0,Light Blue - #00A6E0,Inter,16,9790,14213,165,19
1169:24694,Dark Gray 100 - #7f89b8,Dark Gray 100 - #7f89b8,Inter,16,10746,14213,190,19
1169:24695,Light Gray 200 - #e4e6f0,Light Gray 200 - #e4e6f0,Inter,16,10263,14285,196,19
1169:24696,Mid Blue - #0072CD,Mid Blue - #0072CD,Inter,16,9790,14282,155,19
1169:24697,Dark Gray 200 - #6671aa,Dark Gray 200 - #6671aa,Inter,16,10746,14285,192,19
1169:24698,Light Gray 300 - #d7dae9,Light Gray 300 - #d7dae9,Inter,16,10263,14357,198,19
1169:24699,Primary Blue - #005091,Primary Blue - #005091,Inter,16,9790,14352,182,19
1169:24700,Dark Gray 300 - #535e96,Dark Gray 300 - #535e96,Inter,16,10746,14357,197,19
1169:24701,Light Gray 400 - #cbcfe2,Light Gray 400 - #cbcfe2,Inter,16,10263,14429,193,19
